ageband,year,pop,rate,ratelow,rateupp
Total,1996,Maori,1062.4,1016.9,1108
00-04,1996,Maori,452.4,403.5,501.3
05-09,1996,Maori,11.6,3.6,19.7
10-14,1996,Maori,44.5,27.1,62
15-19,1996,Maori,124.2,94.9,153.5
20-24,1996,Maori,135.8,103.1,168.6
25-29,1996,Maori,177.1,137.3,216.9
30-34,1996,Maori,207.3,163.5,251.1
35-39,1996,Maori,256.7,204.5,308.9
40-44,1996,Maori,318,252.3,383.7
45-49,1996,Maori,670.2,563,777.5
50-54,1996,Maori,1134.3,970.8,1297.7
55-59,1996,Maori,1677.3,1463.3,1891.3
60-64,1996,Maori,3108.1,2768.6,3447.6
65-69,1996,Maori,4509.2,4012.8,5005.6
70-74,1996,Maori,6090,5345.5,6834.6
75-79,1996,Maori,8061.7,6893.6,9229.7
80+,1996,Maori,15762.7,13913.1,17612.3
Total,1997,Maori,980.2,937.8,1022.5
00-04,1997,Maori,442.7,394.3,491
05-09,1997,Maori,26.9,14.8,39
10-14,1997,Maori,37.9,22,53.7
15-19,1997,Maori,130.3,100.2,160.4
20-24,1997,Maori,108.5,79.3,137.7
25-29,1997,Maori,171.1,132.4,209.8
30-34,1997,Maori,180.5,139.7,221.4
35-39,1997,Maori,196.9,152.3,241.5
40-44,1997,Maori,370.2,301.1,439.4
45-49,1997,Maori,582.5,484.9,680
50-54,1997,Maori,1163.7,1002.1,1325.4
55-59,1997,Maori,1663.2,1452.3,1874
60-64,1997,Maori,2692.7,2382.8,3002.6
65-69,1997,Maori,4330.2,3855.7,4804.6
70-74,1997,Maori,5634.7,4940.4,6329.1
75-79,1997,Maori,8093.2,6945.4,9241
80+,1997,Maori,13010.8,11371.5,14650
Total,1998,Maori,934.2,893.8,974.6
00-04,1998,Maori,350.8,307.9,393.7
05-09,1998,Maori,20.9,10.3,31.5
10-14,1998,Maori,47.9,30.5,65.3
15-19,1998,Maori,117.1,88.4,145.7
20-24,1998,Maori,134.7,102.2,167.3
25-29,1998,Maori,163.6,126.1,201.1
30-34,1998,Maori,173.2,133.2,213.3
35-39,1998,Maori,204.7,160.4,249
40-44,1998,Maori,305,243.6,366.3
45-49,1998,Maori,625.3,526.5,724
50-54,1998,Maori,949.8,807.8,1091.7
55-59,1998,Maori,1684.9,1474.4,1895.5
60-64,1998,Maori,2697.8,2392.6,3003.1
65-69,1998,Maori,4115.4,3665.2,4565.6
70-74,1998,Maori,5315.1,4660.2,5970.1
75-79,1998,Maori,7862.9,6759.3,8966.5
80+,1998,Maori,12385.8,10831.7,13939.9
Total,1999,Maori,954.2,914.1,994.3
00-04,1999,Maori,383,338.3,427.8
05-09,1999,Maori,15.2,6.2,24.2
10-14,1999,Maori,39.5,24,54.9
15-19,1999,Maori,92.4,66.8,118
20-24,1999,Maori,121.2,90.3,152.2
25-29,1999,Maori,135,101.2,168.9
30-34,1999,Maori,173.2,133.5,212.9
35-39,1999,Maori,224.8,179.1,270.5
40-44,1999,Maori,382,315.3,448.8
