ageband,year,deaths,rate,ratelow,rateupp,Population,ageband2,year2,deaths2,rate2,ratelow2,rateupp2,Population2,ageband3,year3,deaths3,rate3,ratelow3,rateupp3,Population3,ratem
Total,1996,2771,1062.4179803549,1016.8634435615,1107.9725171483,Maori Pop 1,Total,1996,25870,542.0888957171,535.2191348803,548.958656554,Non-Maori Pop 2,Total,1996,28641,577.666222426,570.802705444,584.5297394079,Total Pop 3,1062.4179803549
Total,1997,2694,980.1534611474,937.8092537189,1022.4976685759,Maori Pop 1,Total,1997,25238,517.0764270236,510.4278691586,523.7249848886,Non-Maori Pop 2,Total,1997,27932,551.0191710835,544.3786191192,557.6597230479,Total Pop 3,980.1534611474
Total,1998,2638,934.2285717637,893.8451372942,974.6120062331,Maori Pop 1,Total,1998,24552,493.8697183552,487.4146000692,500.3248366412,Non-Maori Pop 2,Total,1998,27190,525.8149438666,519.3821118778,532.2477758554,Total Pop 3,934.2285717637
Total,1999,2776,954.1899555964,914.0833472505,994.2965639423,Maori Pop 1,Total,1999,25873,506.9231684279,500.4497765016,513.3965603542,Non-Maori Pop 2,Total,1999,28649,539.9689150852,533.5216255232,546.4162046473,Total Pop 3,954.1899555964
Total,2000,2689,905.9589282283,867.4810323836,944.4368240731,Maori Pop 1,Total,2000,24546,472.3836212854,466.1550132905,478.6122292803,Non-Maori Pop 2,Total,2000,27235,502.6646238007,496.4889416452,508.8403059562,Total Pop 3,905.9589282283
Total,2001,2720,864.292018856,827.9495752612,900.6344624508,Maori Pop 1,Total,2001,25725,477.2621171418,471.0981129924,483.4261212913,Non-Maori Pop 2,Total,2001,28445,507.7030911393,501.5818393226,513.824342956,Total Pop 3,864.292018856
Total,2002,2736,840.2560496404,805.2571950734,875.2549042073,Maori Pop 1,Total,2002,25973,470.8992975573,464.8254862805,476.9731088341,Non-Maori Pop 2,Total,2002,28709,499.6053528532,493.5994364014,505.611269305,Total Pop 3,840.2560496404
Total,2003,2817,829.5432077521,795.5426160954,863.5437994089,Maori Pop 1,Total,2003,25584,452.079954439,446.2026185913,457.9572902866,Non-Maori Pop 2,Total,2003,28401,482.5527248607,476.7130925367,488.3923571846,Total Pop 3,829.5432077521
Total,2004,2844,803.6686732401,771.0512246718,836.2861218084,Maori Pop 1,Total,2004,26249,452.4159445255,446.5875775817,458.2443114692,Non-Maori Pop 2,Total,2004,29093,481.2953216738,475.5290142026,487.0616291451,Total Pop 3,803.6686732401
Total,2005,2867,787.1228313843,755.4164024765,818.8292602921,Maori Pop 1,Total,2005,24855,418.7856992152,413.2320378162,424.3393606142,Non-Maori Pop 2,Total,2005,27722,448.74407878,443.2243379076,454.2638196525,Total Pop 3,787.1228313843
Total,2006,2967,777.7075687596,747.1872292274,808.2279082918,Maori Pop 1,Total,2006,26078,426.4016814847,420.8644212044,431.9389417649,Non-Maori Pop 2,Total,2006,29045,456.432711083,450.9348881148,461.9305340513,Total Pop 3,777.7075687596
Total,2007,3023,753.6420085016,724.4980356686,782.7859813347,Maori Pop 1,Total,2007,25810,412.9527224297,407.5471839727,418.3582608867,Non-Maori Pop 2,Total,2007,28833,443.0360654306,437.6702925049,448.4018383563,Total Pop 3,753.6420085016
Total,2008,3021,732.0130268092,703.9228591193,760.1031944991,Maori Pop 1,Total,2008,26718,417.6538392695,412.2674396162,423.0402389228,Non-Maori Pop 2,Total,2008,29739,444.490779817,439.185174613,449.796385021,Total Pop 3,732.0130268092
Total,2009,3162,731.287620321,703.9596034139,758.6156372281,Maori Pop 1,Total,2009,26364,403.5999705221,398.3491229654,408.8508180789,Non-Maori Pop 2,Total,2009,29526,432.4786576084,427.2865526929,437.6707625239,Total Pop 3,731.287620321
Total,2010,3028,663.7866562272,638.5766647821,688.9966476723,Maori Pop 1,Total,2010,26104,388.5806206463,383.4995456859,393.6616956067,Non-Maori Pop 2,Total,2010,29132,414.5558360124,409.5421532126,419.5695188123,Total Pop 3,663.7866562272
Total,2011,3152,672.0302014927,647.2571203118,696.8032826737,Maori Pop 1,Total,2011,27621,399.9718592874,394.8778450422,405.0658735326,Non-Maori Pop 2,Total,2011,30773,425.3378579615,420.32330163,430.352414293,Total Pop 3,672.0302014927
Total,2012,3165,655.7993555102,631.7970634624,679.8016475579,Maori Pop 1,Total,2012,27451,387.3679375586,382.4122424639,392.3236326532,Non-Maori Pop 2,Total,2012,30616,411.9436581515,407.068583031,416.8187332719,Total Pop 3,655.7993555102
Total,2013,3115,623.9017227678,601.0637019202,646.7397436154,Maori Pop 1,Total,2013,25990,358.324743513,353.6206944248,363.0287926012,Non-Maori Pop 2,Total,2013,29105,382.2031861779,377.5687468139,386.8376255418,Total Pop 3,623.9017227678
