ageband,year,pop,rate,ratelow,rateupp,deaths,people,percent
Total,1948,Total,19.3,17.24,21.37,352,1834700,0.000191857
00-04,1948,Total,0,0,0,0,209280,0
05-09,1948,Total,0,0,0,0,168100,0
10-14,1948,Total,0,0,0,0,134290,0
15-19,1948,Total,0,0,0,0,135670,0
20-24,1948,Total,0,0,0,0,140040,0
25-29,1948,Total,0.72,0,2.14,1,138290,7.23e-06
30-34,1948,Total,0.73,0,2.16,1,136850,7.31e-06
35-39,1948,Total,5.28,1.37,9.18,7,132670,5.28e-05
40-44,1948,Total,9.18,3.76,14.61,11,119800,9.18e-05
45-49,1948,Total,7.59,2.33,12.85,8,105400,7.59e-05
50-54,1948,Total,23.37,13.38,33.37,21,89850,0.000233723
55-59,1948,Total,37.3,24.17,50.42,31,83120,0.000372955
60-64,1948,Total,52.83,36.85,68.81,42,79500,0.000528302
65-69,1948,Total,70.57,50.81,90.34,49,69430,0.000705747
70-74,1948,Total,155.65,119.94,191.36,73,46900,0.001556503
75-79,1948,Total,236.25,178.37,294.13,64,27090,0.002362495
80+,1948,Total,240.96,169.76,312.16,44,18260,0.002409639
Total,1949,Total,19.8,17.77,21.84,380,1871700,0.000203024
00-04,1949,Total,0,0,0,0,222050,0
05-09,1949,Total,0,0,0,0,172170,0
10-14,1949,Total,0,0,0,0,138860,0
15-19,1949,Total,0,0,0,0,134080,0
20-24,1949,Total,0,0,0,0,141050,0
25-29,1949,Total,2.12,0,4.52,3,141560,2.12e-05
30-34,1949,Total,0.74,0,2.18,1,135540,7.38e-06
35-39,1949,Total,2.97,0.06,5.88,4,134710,2.97e-05
40-44,1949,Total,4.05,0.5,7.61,5,123370,4.05e-05
45-49,1949,Total,4.63,0.57,8.7,5,107880,4.63e-05
50-54,1949,Total,18.46,9.68,27.24,17,92090,0.000184602
55-59,1949,Total,29.17,17.5,40.84,24,82280,0.000291687
60-64,1949,Total,68.99,50.76,87.22,55,79720,0.000689915
65-69,1949,Total,103.33,79.46,127.2,72,69680,0.001033295
70-74,1949,Total,166.7,130.84,202.56,83,49790,0.001667001
75-79,1949,Total,242.93,184.76,301.1,67,27580,0.002429297
80+,1949,Total,227.27,160.12,294.43,44,19360,0.002272727
Total,1950,Total,23.52,21.32,25.72,457,1909100,0.00023938
00-04,1950,Total,0,0,0,0,232000,0
05-09,1950,Total,0,0,0,0,177030,0
10-14,1950,Total,0,0,0,0,146120,0
15-19,1950,Total,0,0,0,0,132610,0
20-24,1950,Total,0.71,0,2.1,1,140830,7.1e-06
25-29,1950,Total,0.7,0,2.06,1,143380,6.97e-06
30-34,1950,Total,0.74,0,2.18,1,135830,7.36e-06
35-39,1950,Total,1.46,0,3.49,2,136600,1.46e-05
40-44,1950,Total,3.16,0.06,6.26,4,126580,3.16e-05
45-49,1950,Total,13.69,6.76,20.62,15,109560,0.000136911
50-54,1950,Total,24.09,14.25,33.94,23,95470,0.000240913
55-59,1950,Total,57.05,40.74,73.36,47,82380,0.000570527
60-64,1950,Total,59.32,42.36,76.28,47,79230,0.00059321
65-69,1950,Total,123.62,97.49,149.74,86,69570,0.001236165
70-74,1950,Total,181.78,145.42,218.15,96,52810,0.001817838
75-79,1950,Total,262.24,202.89,321.59,75,28600,0.002622378
80+,1950,Total,289.07,215.31,362.84,59,20410,0.00289074
Total,1951,Total,24.79,22.57,27.01,496,1947600,0.000254672
00-04,1951,Total,0,0,0,0,236470,0
05-09,1951,Total,0,0,0,0,184250,0
10-14,1951,Total,0,0,0,0,155980,0
15-19,1951,Total,0,0,0,0,132430,0
20-24,1951,Total,0,0,0,0,139820,0
25-29,1951,Total,1.38,0,3.29,2,144980,1.38e-05
30-34,1951,Total,1.45,0,3.46,2,137840,1.45e-05
35-39,1951,Total,2.18,0,4.64,3,137900,2.18e-05
40-44,1951,Total,3.88,0.48,7.27,5,129020,3.88e-05
45-49,1951,Total,16.02,8.62,23.42,18,112360,0.000160199
50-54,1951,Total,27.58,17.18,37.99,27,97880,0.000275848
