ageband,year,pop,rate,ratelow,rateupp,deaths,people,percent
Total,1996,Total,577.67,570.8,584.53,28641,3733820,0.007670696
00-04,1996,Total,318.88,298.5,339.27,940,294780,0.003188819
05-09,1996,Total,16.89,12.21,21.57,50,296050,0.00016889
10-14,1996,Total,24.52,18.61,30.44,66,269140,0.000245226
15-19,1996,Total,92.79,81.31,104.27,251,270490,0.000927946
20-24,1996,Total,95.44,84.01,106.87,268,280800,0.000954416
25-29,1996,Total,97.47,86.01,108.93,278,285210,0.00097472
30-34,1996,Total,104.56,93.03,116.09,316,302210,0.001045631
35-39,1996,Total,113.57,101.42,125.71,336,295860,0.001135672
40-44,1996,Total,140.72,126.42,155.02,372,264360,0.001407172
45-49,1996,Total,277.96,257.25,298.67,692,248960,0.002779563
50-54,1996,Total,434.72,405.35,464.08,842,193690,0.004347153
55-59,1996,Total,709.73,669.05,750.42,1169,164710,0.007097323
60-64,1996,Total,1253.27,1194.14,1312.39,1726,137720,0.012532675
65-69,1996,Total,1926.84,1852.8,2000.87,2602,135040,0.019268365
70-74,1996,Total,3046.11,2945.49,3146.73,3521,115590,0.030461113
75-79,1996,Total,4841.9,4692.93,4990.88,4058,83810,0.048419043
80+,1996,Total,11691.82,11474.84,11908.81,11154,95400,0.116918239
Total,1997,Total,551.02,544.38,557.66,27932,3782570,0.007384397
00-04,1997,Total,296.25,276.51,316,865,291980,0.002962532
05-09,1997,Total,17.44,12.74,22.14,53,303900,0.000174399
10-14,1997,Total,22.65,17.01,28.29,62,273740,0.000226492
15-19,1997,Total,87.89,76.72,99.06,238,270790,0.00087891
20-24,1997,Total,88.73,77.58,99.89,243,273850,0.000887347
25-29,1997,Total,104.25,92.46,116.05,300,287760,0.001042535
30-34,1997,Total,101.45,90.07,112.84,305,300630,0.001014536
35-39,1997,Total,106.86,95.26,118.46,326,305060,0.001068642
40-44,1997,Total,168.57,153.13,184.01,458,271700,0.001685683
45-49,1997,Total,250.91,231.31,270.5,630,251090,0.00250906
50-54,1997,Total,439.13,410.44,467.82,900,204950,0.004391315
55-59,1997,Total,694.42,655.06,733.78,1196,172230,0.006944203
60-64,1997,Total,1114.79,1059.27,1170.31,1549,138950,0.011147895
65-69,1997,Total,1882.17,1808.78,1955.55,2527,134260,0.018821689
70-74,1997,Total,2875.53,2778.18,2972.87,3352,116570,0.028755254
75-79,1997,Total,4446.37,4305.93,4586.8,3851,86610,0.044463688
80+,1997,Total,11245.69,11036.26,11455.11,11077,98500,0.112456853
Total,1998,Total,525.81,519.38,532.25,27190,3815820,0.007125598
00-04,1998,Total,268.92,250.03,287.8,779,289680,0.002689174
05-09,1998,Total,17.31,12.65,21.97,53,306240,0.000173067
10-14,1998,Total,26.79,20.73,32.85,75,279960,0.000267895
15-19,1998,Total,78.48,67.94,89.02,213,271410,0.000784791
20-24,1998,Total,91.5,80,103.01,243,265570,0.000915013
25-29,1998,Total,91.34,80.24,102.45,260,284640,0.000913435
30-34,1998,Total,94.99,83.91,106.08,282,296860,0.000949943
35-39,1998,Total,117.11,105.09,129.12,365,311680,0.001171073
40-44,1998,Total,171.46,156.07,186.85,477,278200,0.001714594
45-49,1998,Total,234.91,216,253.81,593,252440,0.002349073
50-54,1998,Total,377.31,351.58,403.04,826,218920,0.003773068
55-59,1998,Total,675.74,637.38,714.1,1192,176400,0.00675737
60-64,1998,Total,1125.45,1070.23,1180.67,1596,141810,0.011254495
65-69,1998,Total,1774.56,1703.01,1846.11,2363,133160,0.017745569
70-74,1998,Total,2731.82,2637.5,2826.13,3223,117980,0.02731819
75-79,1998,Total,4423.53,4285.94,4561.11,3971,89770,0.044235268
80+,1998,Total,10562.81,10362.47,10763.15,10679,101100,0.105628091
Total,1999,Total,539.97,533.52,546.42,28649,3837320,0.007465888
00-04,1999,Total,290.79,271.02,310.56,831,285770,0.002907933
05-09,1999,Total,13.43,9.32,17.53,41,305400,0.00013425
10-14,1999,Total,23.06,17.49,28.62,66,286270,0.000230552
15-19,1999,Total,74.36,64.11,84.62,202,271650,0.000743604
