ageband,year,pop,deaths,people,rate
00-04,1996,Female,0,142520,0
05-09,1996,Female,0,144270,0
10-14,1996,Female,4,130880,3.05623471882641
15-19,1996,Female,21,132500,15.8490566037736
20-24,1996,Female,17,140440,12.1048134434634
25-29,1996,Female,8,145930,5.4820804495306
30-34,1996,Female,12,154410,7.77151738877016
35-39,1996,Female,7,150340,4.65611281096182
40-44,1996,Female,6,133570,4.49202665269147
45-49,1996,Female,11,124250,8.85311871227364
50-54,1996,Female,6,96600,6.2111801242236
55-59,1996,Female,3,82800,3.6231884057971
60-64,1996,Female,2,69250,2.88808664259928
65-69,1996,Female,2,68780,2.90782204129107
70-74,1996,Female,6,62790,9.55566172957477
75-79,1996,Female,3,49540,6.0557125555107
80+,1996,Female,2,63200,3.16455696202532
Total,1996,Female,110,1892070,5.81373839234278
00-04,1997,Female,0,141590,0
05-09,1997,Female,0,147950,0
10-14,1997,Female,3,133280,2.25090036014406
15-19,1997,Female,19,132580,14.3309699803892
20-24,1997,Female,10,136700,7.31528895391368
25-29,1997,Female,14,147450,9.49474398101051
30-34,1997,Female,18,154080,11.6822429906542
35-39,1997,Female,11,155530,7.07259049701022
40-44,1997,Female,13,137550,9.45110868774991
45-49,1997,Female,9,125480,7.17245776219318
50-54,1997,Female,8,102260,7.82319577547428
55-59,1997,Female,8,86490,9.24962423401549
60-64,1997,Female,2,70240,2.84738041002278
65-69,1997,Female,1,68370,1.4626298083955
70-74,1997,Female,2,62620,3.19386777387416
75-79,1997,Female,3,50860,5.89854502556036
80+,1997,Female,2,65300,3.06278713629403
Total,1997,Female,123,1918330,6.4118269536524
00-04,1998,Female,0,140650,0
05-09,1998,Female,0,149020,0
10-14,1998,Female,4,136480,2.93083235638921
15-19,1998,Female,28,133050,21.0447200300639
20-24,1998,Female,11,132590,8.29625160268497
25-29,1998,Female,14,146130,9.58051050434545
30-34,1998,Female,10,152720,6.54793085385018
35-39,1998,Female,10,159490,6.26998557903317
40-44,1998,Female,20,141110,14.1733399475586
45-49,1998,Female,10,126510,7.90451347719548
50-54,1998,Female,6,109380,5.48546352166758
55-59,1998,Female,4,88700,4.50958286358512
60-64,1998,Female,3,71750,4.18118466898955
65-69,1998,Female,2,68010,2.94074400823408
70-74,1998,Female,8,62810,12.7368253462824
75-79,1998,Female,0,52230,0
80+,1998,Female,6,67100,8.94187779433681
Total,1998,Female,136,1937730,7.018521672266
00-04,1999,Female,0,138870,0
05-09,1999,Female,0,148370,0
10-14,1999,Female,3,139650,2.14822771213749
15-19,1999,Female,18,133210,13.512499061632
20-24,1999,Female,16,129460,12.3590298161594
25-29,1999,Female,10,142920,6.99692135460397
30-34,1999,Female,9,151910,5.9245605950892
35-39,1999,Female,17,160930,10.5635990803455
40-44,1999,Female,18,144720,12.4378109452736
45-49,1999,Female,8,128220,6.2392762439557
50-54,1999,Female,7,115050,6.08431116905693
55-59,1999,Female,4,90970,4.39705397383753
60-64,1999,Female,2,74290,2.69215237582447
65-69,1999,Female,5,67530,7.40411668887902
70-74,1999,Female,4,62900,6.35930047694754
75-79,1999,Female,4,53860,7.42666171555886
80+,1999,Female,3,68500,4.37956204379562
Total,1999,Female,128,1951360,6.55952771400459
00-04,2000,Female,0,137760,0
05-09,2000,Female,0,146330,0
10-14,2000,Female,1,143400,0.697350069735007
15-19,2000,Female,9,134360,6.69842214944924
20-24,2000,Female,6,127430,4.7084673938633
25-29,2000,Female,9,138960,6.47668393782383
30-34,2000,Female,8,151770,5.27113395269157
35-39,2000,Female,9,160530,5.60642870491497
40-44,2000,Female,4,148150,2.69996625042187
45-49,2000,Female,7,130190,5.37675704739227
50-54,2000,Female,6,119720,5.01169395255596
55-59,2000,Female,5,93280,5.36020583190395
60-64,2000,Female,4,77790,5.14204910656897
65-69,2000,Female,2,66990,2.98552022689954
70-74,2000,Female,0,62920,0
75-79,2000,Female,0,54450,0
80+,2000,Female,1,71100,1.40646976090014
Total,2000,Female,71,1965130,3.61299252466758
00-04,2001,Female,0,137140,0
05-09,2001,Female,0,143150,0
10-14,2001,Female,2,147100,1.35961930659415
15-19,2001,Female,11,136360,8.06688178351423
20-24,2001,Female,6,128120,4.68310958476428
25-29,2001,Female,14,133270,10.5049898701883
30-34,2001,Female,11,152250,7.22495894909688
35-39,2001,Female,8,158450,5.04891132849479
40-44,2001,Female,9,152090,5.91754881977776
45-49,2001,Female,7,132890,5.26751448566484
50-54,2001,Female,6,122950,4.88003253355022
55-59,2001,Female,3,95660,3.13610704578716
60-64,2001,Female,6,81870,7.32869182850861
65-69,2001,Female,3,67140,4.46827524575514
70-74,2001,Female,3,63310,4.73858790080556
75-79,2001,Female,1,54650,1.82982616651418
80+,2001,Female,5,73900,6.765899864682
Total,2001,Female,95,1980300,4.79725294147351
00-04,2002,Female,0,137340,0
05-09,2002,Female,0,142860,0
10-14,2002,Female,0,150430,0
15-19,2002,Female,15,140640,10.6655290102389
20-24,2002,Female,13,132230,9.83135445814112
25-29,2002,Female,7,130530,5.36275185781047
30-34,2002,Female,12,154050,7.78967867575463
35-39,2002,Female,14,158230,8.8478796688365
40-44,2002,Female,8,157370,5.08356103450467
45-49,2002,Female,7,136880,5.11396843950906
50-54,2002,Female,6,123800,4.84652665589661
55-59,2002,Female,2,101280,1.97472353870458
60-64,2002,Female,5,85530,5.8459020226821
65-69,2002,Female,2,68260,2.92997363023733
70-74,2002,Female,4,63230,6.32611102324846
75-79,2002,Female,1,54660,1.82949140139041
80+,2002,Female,3,76100,3.94218134034166
Total,2002,Female,99,2013420,4.91700688380964
00-04,2003,Female,0,137750,0
05-09,2003,Female,0,143220,0
10-14,2003,Female,1,152570,0.655436848659632
15-19,2003,Female,16,145020,11.0329609709006
20-24,2003,Female,14,137940,10.149340292881
25-29,2003,Female,12,129870,9.24000924000924
30-34,2003,Female,9,155930,5.7718206887706
35-39,2003,Female,15,158460,9.46611132146914
40-44,2003,Female,5,162800,3.07125307125307
45-49,2003,Female,7,141530,4.94594785557832
50-54,2003,Female,12,125170,9.58696173204442
